"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
45,643.86,14.95613909,643.78,643.64,643.54,643.44,643.36,643.99,644,644.21,644.22,644.39,8.52714475,6.90827667,56.4997,78.58618999,104,16.179927,367.74277,11,10,15.25,20180423 14:15:38.114812,20180423 14:14:38.000000,1
46,643.86,14.95613909,643.78,643.64,643.54,643.44,643.36,643.99,644,644.21,644.39,644.4,8.52714475,6.90827667,56.4997,78.58618999,104,16.179927,367.74277,11,15.25,2,20180423 14:15:38.120503,20180423 14:14:38.000000,1
47,643.86,14.95613909,643.96,643.78,643.64,643.54,643.44,643.99,644,644.21,644.39,644.4,4.61566091,8.52714475,6.90827667,56.4997,78.58618999,16.179927,367.74277,11,15.25,2,20180423 14:15:38.124469,20180423 14:14:38.000000,1
48,643.86,14.95613909,643.96,643.78,643.64,643.54,643.44,643.99,644,644.21,644.39,644.4,4.61566091,31.52714474,6.90827667,56.4997,78.58618999,16.179927,367.74277,11,15.25,2,20180423 14:15:38.127919,20180423 14:14:38.000000,1
49,643.86,14.95613909,643.96,643.78,643.64,643.54,643.44,643.99,644,644.21,644.39,644.4,4.61566091,31.52714474,6.90827667,32.6237,78.58618999,16.179927,367.74277,11,15.25,2,20180423 14:15:38.129925,20180423 14:14:38.000000,1
50,643.86,14.95613909,643.96,643.78,643.64,643.54,643.44,643.99,644,644.21,644.39,644.4,4.61566091,31.52714474,6.90827667,32.6237,78.58618999,10,367.74277,11,15.25,2,20180423 14:15:38.134453,20180423 14:14:38.000000,1
56,644,0.59565203,643.96,643.78,643.64,643.54,643.44,643.99,644,644.21,644.39,644.4,4.61566091,31.52714474,6.90827667,32.6237,78.58618999,10,367.74277,11,15.25,2,20180423 14:15:38.140802,20180423 14:14:39.000000,2
71,644,0.59565203,643.96,643.78,643.64,643.54,643.36,643.99,644,644.21,644.39,644.4,4.61566091,31.52714474,6.90827667,32.6237,104,10,367.74277,11,15.25,2,20180423 14:15:38.352837,20180423 14:14:39.000000,1
72,644,0.59565203,643.96,643.78,643.64,643.54,643.36,643.99,644,644.39,644.4,644.48,4.61566091,31.52714474,6.90827667,32.6237,104,10,367.74277,15.25,2,0.20011992,20180423 14:15:38.355093,20180423 14:14:39.000000,1
73,644,0.59565203,643.96,643.88,643.78,643.64,643.54,643.99,644,644.39,644.4,644.48,4.61566091,0.89986701,31.52714474,6.90827667,32.6237,10,367.74277,15.25,2,0.20011992,20180423 14:15:38.360607,20180423 14:14:39.000000,1
