"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
1,1393.7,0.0368891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000101 00:00:00.000000,20180423 14:14:37.000000,2
64,1393.7,0.0368891,1392.9,1392.8,1392.7,1392.1,1392,1393.7,1395.4,1395.5,1396.1,1396.9,13.6,1.048109,0.05,7.30296707,8.97388242,0.02859765,3,4.7,2,0.03076071,20180423 14:15:38.208374,20180423 14:14:37.000000,1
101,1393.7,0.0368891,1392.9,1392.8,1392.7,1392.2,1392.1,1393.7,1395.4,1395.5,1396.1,1396.9,13.6,1.048109,0.05,26.026,7.30296707,0.02859765,3,4.7,2,0.03076071,20180423 14:15:38.956093,20180423 14:14:37.000000,1
116,1393.7,0.0368891,1392.9,1392.8,1392.7,1392.2,1392.1,1393.7,1395.4,1395.5,1396.1,1396.9,7.17747505,1.048109,0.05,26.026,7.30296707,0.02859765,3,4.7,2,0.03076071,20180423 14:15:39.282158,20180423 14:14:37.000000,1
117,1393.7,0.0368891,1392.9,1392.8,1392.7,1392.2,1392.1,1393.7,1395.4,1395.5,1396.1,1396.9,7.17747505,1.048109,0.05,26.026,0.12567736,0.02859765,3,4.7,2,0.03076071,20180423 14:15:39.283631,20180423 14:14:37.000000,1
131,1393.7,0.0368891,1392.9,1392.8,1392.7,1392.1,1392,1393.7,1395.4,1395.5,1396.1,1396.9,7.17747505,1.048109,0.05,0.12567736,8.97388242,0.02859765,3,4.7,2,0.03076071,20180423 14:15:39.641446,20180423 14:14:37.000000,1
132,1393.7,0.0368891,1392.9,1392.8,1392.7,1392.1,1392,1393.7,1395.4,1395.5,1396.1,1396.9,13.56447504,1.048109,0.05,0.12567736,8.97388242,0.02859765,3,4.7,2,0.03076071,20180423 14:15:39.645641,20180423 14:14:37.000000,1
138,1395.4,0.07140235,1392.9,1392.8,1392.7,1392.1,1392,1393.7,1395.4,1395.5,1396.1,1396.9,13.56447504,1.048109,0.05,0.12567736,8.97388242,0.02859765,3,4.7,2,0.03076071,20180423 14:15:39.651602,20180423 14:14:40.000000,2
