"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
1,0.0,0.0,151.55,151.52,151.51,151.5,151.48,151.56,151.57,151.65,151.66,151.74,272.28957726,20.49006,6.49160774,73.13058,18.66492343,72.3905,50.0,110.0,50.0,40.97345004,20180423 14:15:36.331273,20000101 00:00:00.000000,1
27,0.0,0.0,151.55,151.52,151.51,151.5,151.48,151.56,151.57,151.65,151.66,151.74,272.28957726,52.69306,6.49160774,73.13058,18.66492343,72.3905,50.0,110.0,68.0,40.97345004,20180423 14:15:37.465444,20000101 00:00:00.000000,1
37,0.0,0.0,151.55,151.53,151.52,151.51,151.5,151.56,151.57,151.65,151.66,151.74,272.28957726,17.992,52.69303,6.49160774,73.13058,72.3905,50.0,110.0,68.0,40.97345004,20180423 14:15:38.577532,20000101 00:00:00.000000,1
40,0.0,0.0,151.55,151.53,151.52,151.51,151.5,151.56,151.57,151.65,151.66,151.74,272.38957726,66.946,20.49003,6.49160774,132.28831,72.3905,50.0,110.97345004,68.0,40.97345004,20180423 14:15:39.687749,20000101 00:00:00.000000,1
