"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
4,0.0,0.0,8906.06,8906.0,8905.97,8905.56,8905.51,8906.07,8907.01,8907.65,8907.69,8909.0,10.47863215,0.05204,0.00359284,0.02511732,0.09496325,32.65353715,0.1,1.12182,3.0,0.0371857,20180423 14:15:36.355819,20000101 00:00:00.000000,1
6,8906.06,0.0066,8906.06,8906.0,8905.97,8905.56,8905.51,8906.07,8907.01,8907.65,8907.69,8909.0,10.47863215,0.05204,0.00359284,0.02511732,0.09496325,32.65353715,0.1,1.12182,3.0,0.0371857,20180423 14:15:36.355819,20180423 14:15:36.742446,2
28,8906.06,0.0066,8906.06,8906.0,8905.97,8905.56,8905.51,8906.07,8907.01,8907.65,8907.69,8909.0,10.47203215,0.05204,0.00359284,0.02511732,0.09496325,32.65353715,0.1,1.12182,3.0,0.0371857,20180423 14:15:37.480729,20180423 14:15:36.742446,1
42,8906.06,0.2618,8906.06,8906.0,8905.97,8905.56,8905.51,8906.07,8907.01,8907.65,8907.69,8909.0,10.47203215,0.05204,0.00359284,0.02511732,0.09496325,32.65353715,0.1,1.12182,3.0,0.0371857,20180423 14:15:37.480729,20180423 14:15:39.994722,2
